,file_name,subject,total_step,first_intention_prediction_ratio,every_step_prediction_ratio,first_intention_step,first_intention_step/total_step,intention_ratio,
0,C:\Users\wei\PycharmProjects\intention_noise\results/expt_A_noise0_B__C_.xlsx,machine,12.495,0.995,"[0.6483333333333333, 0.5325, 0.5516666666666666, 0.5644067796610169, 0.5468331846565566, 0.5494106980961015, 0.5458089668615984, 0.5482587064676617, 0.5379388448471121, 0.5248815165876777, 0.549618320610687, 0.5801526717557252, 0.5892255892255892, 0.6363636363636364, 0.6851851851851852, 0.7306666666666667, 0.708029197080292, 0.7136150234741784, 0.7727272727272727, 0.8062015503875969]",1.513333333,0.150314846,0.582499667,0
1,C:\Users\wei\PycharmProjects\intention_noise\results/expt_A_noise0.1_B__C_.xlsx,machine,14.47166667,0.905,"[0.43166666666666664, 0.4633333333333333, 0.5116666666666667, 0.5379426644182125, 0.5437062937062938, 0.5719360568383659, 0.5547098001902949, 0.573076923076923, 0.5626975763962065, 0.5612134344528711, 0.5458768873403019, 0.5670103092783505, 0.5614525139664804, 0.6071428571428571, 0.6147260273972602, 0.6354961832061069, 0.6622516556291391, 0.6903553299492385, 0.7198795180722891, 0.7142857142857143]",2.085833333,0.176512116,0.576413682,0.1
2,C:\Users\wei\PycharmProjects\intention_noise\results/expt_A_noise0.2_B__C_.xlsx,machine,17.03166667,0.851666667,"[0.3416666666666667, 0.42583333333333334, 0.46416666666666667, 0.5054852320675105, 0.4986922406277245, 0.5360915492957746, 0.5450367647058824, 0.5424836601307189, 0.5651302605210421, 0.5575942915392457, 0.5574837310195228, 0.5915331807780321, 0.5567632850241546, 0.5774647887323944, 0.5896739130434783, 0.6079881656804734, 0.6394779771615008, 0.6322463768115942, 0.6516393442622951, 0.6910755148741419]",2.552213868,0.201425712,0.575594481,0.2
3,C:\Users\wei\PycharmProjects\intention_noise\results/expt_A_noise0.3_B__C_.xlsx,machine,21.465,0.76,"[0.30416666666666664, 0.37916666666666665, 0.4025, 0.46140939597315433, 0.4777015437392796, 0.4826388888888889, 0.4748653500897666, 0.5330316742081448, 0.5171428571428571, 0.5043562439496612, 0.513677811550152, 0.5078369905956113, 0.529989094874591, 0.5291479820627802, 0.5410798122065728, 0.5469336670838548, 0.5704787234042553, 0.5322128851540616, 0.5661764705882353, 0.5617977528089888]",2.596137699,0.170636966,0.560757823,0.3
4,C:\Users\wei\PycharmProjects\intention_noise\results/expt_A_noise_B_0.5_C_.xlsx,machine,55.41166667,0.618333333,"[0.2775, 0.2925, 0.29583333333333334, 0.3308270676691729, 0.32575757575757575, 0.3364327979712595, 0.3399311531841652, 0.3602430555555556, 0.38279192273924495, 0.3592233009708738, 0.4016100178890877, 0.39802336028751123, 0.3741935483870968, 0.37940630797773656, 0.3694207027540361, 0.3855769230769231, 0.3831867057673509, 0.36174430128840435, 0.3817258883248731, 0.3857290589451913]",2.685138539,0.096413289,0.491337564,0.5
,file_name,subject,total_step,first_intention_prediction_ratio,every_step_prediction_ratio,first_intention_step,first_intention_step/total_step,intention_ratio,
0,equal,machine,21.27192982,0.956140351,"[0.2543859649122807, 0.3333333333333333, 0.3684210526315789, 0.3893805309734513, 0.42727272727272725, 0.37962962962962965, 0.41509433962264153, 0.41904761904761906, 0.44554455445544555, 0.4752475247524752, 0.5104166666666666, 0.5425531914893617, 0.6263736263736264, 0.6292134831460674, 0.6666666666666666, 0.6666666666666666, 0.6438356164383562, 0.7101449275362319, 0.671875, 0.6666666666666666]",7.631578947,0.379702656,0.541443299,0.3
1,inequal,machine,22.06896552,0.922413793,"[0.23275862068965517, 0.3103448275862069, 0.3706896551724138, 0.3826086956521739, 0.41228070175438597, 0.45132743362831856, 0.4336283185840708, 0.3904761904761905, 0.40384615384615385, 0.42857142857142855, 0.4845360824742268, 0.4631578947368421, 0.4945054945054945, 0.4943820224719101, 0.5060240963855421, 0.56, 0.589041095890411, 0.6231884057971014, 0.6031746031746031, 0.6779661016949152]",7.394736842,0.472669652,0.53125,0.3
,file_name,subject,every_step_prediction_ratio,,,,,,
0,C:\Users\wei\PycharmProjects\intention_noise\results/person_equal.csv,person,"[0.34210526315789475, 0.43859649122807015, 0.5263157894736842, 0.6283185840707964, 0.6727272727272727, 0.6944444444444444, 0.7358490566037735, 0.7333333333333333, 0.7524752475247525, 0.801980198019802, 0.8020833333333334, 0.8723404255319149, 0.9010989010989011, 0.9101123595505618, 0.9285714285714286, 0.9358974358974359, 0.9452054794520548, 0.9565217391304348, 0.953125, 0.9666666666666667]",,,,,,
1,C:\Users\wei\PycharmProjects\intention_noise\results/person_unequal.csv,person,"[0.6896551724137931, 0.7241379310344828, 0.75, 0.8, 0.8070175438596491, 0.8053097345132744, 0.8230088495575221, 0.819047619047619, 0.7980769230769231, 0.8469387755102041, 0.8762886597938144, 0.8526315789473684, 0.8571428571428571, 0.8764044943820225, 0.8795180722891566, 0.88, 0.9315068493150684, 0.9565217391304348, 0.9365079365079365, 0.9491525423728814]",,,,,,
,,,,,,,,,
,,utility,人的模型是什么样子的,,,,,,
